window,games,variant,n,MAE,MAE_vs_prod,se,SU_%,vs_line_MAE,flips_vs_10pt_fav,boost_pts_per_fcs_game
weeks 1-4,fbs_fbs,prod,815,13.116,0.0,0.0,74.8,5.36,0,-0.36
weeks 1-4,fbs_fbs,unified,815,13.066,-0.051,0.1,74.1,4.98,0,-1.26
weeks 1-4,fbs_fbs,unified_all,815,13.058,-0.059,0.099,74.5,4.98,0,-1.24
weeks 1-4,fbs_fbs,fixed_-10,815,13.128,0.012,0.098,74.0,5.19,0,1.44
weeks 1-4,fbs_fbs,fixed_-15,815,13.105,-0.011,0.094,73.9,5.11,0,0.68
weeks 1-4,fbs_fbs,fixed_-20,815,13.086,-0.03,0.091,74.0,5.06,0,-0.08
weeks 1-4,fbs_fbs,fixed_-25,815,13.077,-0.04,0.092,74.4,5.03,0,-0.83
weeks 1-4,fbs_fbs,fixed_-30,815,13.078,-0.038,0.095,74.2,5.02,0,-1.59
weeks 1-4,fbs_fbs,fixed_-10_all,815,13.12,0.003,0.096,74.4,5.19,0,1.51
weeks 1-4,fbs_fbs,fixed_-15_all,815,13.098,-0.018,0.091,74.0,5.11,0,0.75
weeks 1-4,fbs_fbs,fixed_-20_all,815,13.08,-0.036,0.089,74.5,5.06,0,-0.02
weeks 1-4,fbs_fbs,fixed_-25_all,815,13.069,-0.047,0.089,74.5,5.02,0,-0.79
weeks 1-4,fbs_fbs,fixed_-30_all,815,13.072,-0.044,0.092,74.7,5.01,0,-1.55
weeks 5+,fbs_fbs,prod,2183,12.626,0.0,0.0,70.5,3.5,1,0.6
weeks 5+,fbs_fbs,unified,2183,12.518,-0.107,0.035,70.7,3.15,1,0.13
weeks 5+,fbs_fbs,unified_all,2183,12.498,-0.127,0.038,70.7,3.19,1,0.14
weeks 5+,fbs_fbs,fixed_-10,2183,12.557,-0.068,0.038,70.6,3.18,1,1.26
weeks 5+,fbs_fbs,fixed_-15,2183,12.554,-0.071,0.038,70.7,3.17,1,0.94
weeks 5+,fbs_fbs,fixed_-20,2183,12.552,-0.074,0.038,70.7,3.16,1,0.63
weeks 5+,fbs_fbs,fixed_-25,2183,12.551,-0.075,0.038,70.6,3.16,1,0.31
weeks 5+,fbs_fbs,fixed_-30,2183,12.552,-0.074,0.038,70.5,3.16,1,-0.01
weeks 5+,fbs_fbs,fixed_-10_all,2183,12.529,-0.096,0.038,70.5,3.24,1,1.39
weeks 5+,fbs_fbs,fixed_-15_all,2183,12.526,-0.1,0.038,70.4,3.22,1,1.06
weeks 5+,fbs_fbs,fixed_-20_all,2183,12.524,-0.102,0.037,70.5,3.21,1,0.73
weeks 5+,fbs_fbs,fixed_-25_all,2183,12.524,-0.102,0.037,70.5,3.21,1,0.4
weeks 5+,fbs_fbs,fixed_-30_all,2183,12.525,-0.1,0.038,70.5,3.21,1,0.07
all weeks,fbs_fcs,prod,485,18.091,0.0,0.0,89.3,12.24,31,-7.07
all weeks,fbs_fcs,unified,485,13.21,-4.881,0.533,95.3,5.65,1,-6.53
all weeks,fbs_fcs,unified_all,485,13.153,-4.938,0.549,95.5,5.17,1,-3.74
all weeks,fbs_fcs,fixed_-10,485,21.473,3.383,0.678,82.3,17.57,61,-2.4
all weeks,fbs_fcs,fixed_-15,485,18.673,0.582,0.634,89.1,13.84,30,-3.8
all weeks,fbs_fcs,fixed_-20,485,16.497,-1.593,0.607,92.2,10.91,17,-5.2
all weeks,fbs_fcs,fixed_-25,485,15.179,-2.912,0.606,93.8,9.11,7,-6.6
all weeks,fbs_fcs,fixed_-30,485,14.698,-3.393,0.642,94.8,8.78,2,-8.0
all weeks,fbs_fcs,fixed_-10_all,485,21.115,3.025,0.672,83.5,17.23,57,0.17
all weeks,fbs_fcs,fixed_-15_all,485,18.356,0.265,0.627,88.9,13.28,31,-1.12
all weeks,fbs_fcs,fixed_-20_all,485,16.218,-1.872,0.6,93.0,10.13,12,-2.42
all weeks,fbs_fcs,fixed_-25_all,485,14.928,-3.162,0.604,93.6,8.22,9,-3.72
all weeks,fbs_fcs,fixed_-30_all,485,14.5,-3.591,0.642,95.1,7.91,2,-5.02
